Purity of drugs, 2019-2023;;;;;;;;;;;
Region;SubRegion;Country/Territory;LevelOfSale;DrugGroup;Drug;Specify;Year;Typical;Minimum;Maximum;Measurement
Asia;East and South-East Asia;Brunei Darussalam;Retail;“Ecstasy”-type substances;MDMA;;2020;16;16;53;% (percent)
Asia;East and South-East Asia;Brunei Darussalam;Retail;Amphetamine-type stimulants;Methamphetamine powder;;2020;80;78;82;% (percent)
Asia;East and South-East Asia;Brunei Darussalam;Retail;“Ecstasy”-type substances;MDMA;;2021;;16;53,5;
Asia;East and South-East Asia;Brunei Darussalam;Retail;Amphetamine-type stimulants;Methamphetamine powder;;2021;80;74;80,6;
Asia;East and South-East Asia;Brunei Darussalam;Retail;Amphetamine-type stimulants;Methamphetamine powder;;2022;;70;81,1;% (percent)
Asia;East and South-East Asia;Brunei Darussalam;Retail;ATS;Methamphetamine;;2019;74,58;69,06;79,03;% (percent)
Asia;East and South-East Asia;Cambodia;Wholesale;“Ecstasy”-type substances;MDMA;;2020;29;14,6;43,5;% (percent)
Asia;East and South-East Asia;Cambodia;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2020;62;1,5;80,5;% (percent)
Asia;East and South-East Asia;Cambodia;Wholesale;Amphetamine-type stimulants;Methamphetamine tablets;;2020;17;12,2;23,7;% (percent)
Asia;East and South-East Asia;Cambodia;Retail;ATS;Methamphetamine;;2019;64,48;1,91;80,98;% (percent)
Asia;East and South-East Asia;Cambodia;Retail;Opioids;Heroin;;2019;82,77;;;% (percent)
Asia;East and South-East Asia;Cambodia;Retail;Substances not under international control;Ketamine and phencyclidine-type substances;Ketamine;2019;34,29;0,65;78,37;% (percent)
Asia;East and South-East Asia;China;Retail;Amphetamine-type stimulants;Methamphetamine powder;;2020;90;2;99;% (percent)
Asia;East and South-East Asia;China;Retail;Amphetamine-type stimulants;Methamphetamine tablets;;2020;16;2;20;mg/tablet
Asia;East and South-East Asia;China;Retail;Opioids;Heroin;;2020;44;2;80;% (percent)
Asia;East and South-East Asia;China;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2020;96;2;99;% (percent)
Asia;East and South-East Asia;China;Wholesale;Amphetamine-type stimulants;Methamphetamine tablets;;2020;17;2;25;mg/tablet
Asia;East and South-East Asia;China;Wholesale;Opioids;Heroin;;2020;50;2;88;% (percent)
Asia;East and South-East Asia;China;Retail;Amphetamine-type stimulants;Methamphetamine powder;;2021;89;2;99;
