Prices of drugs, 2019-2023;;;;;;;;;;;
Region;SubRegion;Country/Territory;DrugGroup;Drug;Specify;LevelOfSale;Year;Typical_USD;Minimum_USD;Maximum_USD;Unit
Europe;Western and Central Europe;Germany;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$3.609,84;$3.049,20;$7.107,55;Kilograms
Europe;Western and Central Europe;Sweden;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$3.885,28;$1.883,77;$8.476,97;Kilograms
Europe;Western and Central Europe;Germany;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$3.897,30;$1.831,35;$6.797,84;Kilograms
Europe;Western and Central Europe;Denmark;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$3.956,11;$1.897,98;$5.539,74;Kilograms
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$4.214,96;$1.896,73;$8.429,93;Kilograms
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$4.324,32;$1.621,62;$8.648,65;Kilograms
Asia;Near and Middle East/ South-West Asia;United Arab Emirates;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$4.492,24;;;Kilograms
Asia;Near and Middle East/ South-West Asia;Pakistan;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$4.568,18;$4.181,04;$4.955,31;Kilograms
Europe;Western and Central Europe;Greece;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$4.741,83;$4.214,96;$5.268,70;Kilograms
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$4.744,96;$3.558,72;$7.117,44;Kilograms
Europe;Western and Central Europe;Greece;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$4.864,86;$4.324,32;$5.405,41;Kilograms
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$5.148,74;$3.432,49;$6.864,99;Kilograms
Europe;Western and Central Europe;Greece;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$5.148,74;$4.576,66;$5.720,82;Kilograms
Europe;Western and Central Europe;Norway;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$5.216,24;$2.845,22;$7.587,25;Kilograms
Europe;Western and Central Europe;Greece;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$5.338,08;$4.744,96;$5.931,20;Kilograms
Europe;Western and Central Europe;Sweden;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$5.557,51;$2.223,00;$10.530,01;Kilograms
Europe;Western and Central Europe;Sweden;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$5.998,47;$3.544,55;$21.812,63;Kilograms
Europe;Eastern Europe;Ukraine;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$6.026,74;$4.017,82;$6.939,88;Kilograms
Europe;Western and Central Europe;France;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$6.227,76;$5.486,36;$6.969,16;Kilograms
Europe;Western and Central Europe;France;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$6.292,91;$5.434,78;$7.723,11;Kilograms
Europe;Western and Central Europe;Italy;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$7.939,36;$7.171,62;$8.708,24;1000 units
Americas;Central America;Panama;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2019;$8.000,00;$8.000,00;$10.000,00;Kilograms
Europe;South-Eastern Europe;Bosnia and Herzegovina;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$9.489,92;$11.862,40;$11.862,40;Kilograms
Asia;South Asia;India;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$9.689,69;;;Kilograms
Asia;South Asia;India;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$10.204,34;;;Kilograms
Europe;Western and Central Europe;Finland;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$10.537,41;$1.580,61;$13.698,63;Kilograms
Europe;Western and Central Europe;Austria;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$11.591,15;$2.107,48;$21.074,82;Kilograms
Europe;Western and Central Europe;Austria;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$11.891,89;$2.162,16;$21.621,62;Kilograms
Europe;Western and Central Europe;Austria;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$12.585,81;$2.288,33;$22.883,30;Kilograms
Europe;Western and Central Europe;Austria;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$13.048,64;$2.372,48;$23.724,79;Kilograms
Europe;Western and Central Europe;Spain;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$13.453,14;;;Kilograms
